date,cash,position_value,equity,open_positions,portfolio_heat
2018-05-29,92095.55087364065,20749.271990065507,112844.82286370615,1,0.010032266136910507
2018-05-30,92095.55087364065,20895.645691824273,112991.19656546492,1,0.010019269903786824
2018-05-31,92095.55087364065,21232.038316052684,113327.58918969333,1,0.009989529497943142
2018-06-01,92095.55087364065,21907.358415308605,114002.90928894925,1,0.009930354428691423
2018-06-04,92095.55087364065,22294.62427509334,114390.175148734,1,0.00989673539418261
2018-06-05,92095.55087364065,22301.87186989149,114397.42274353214,1,0.009896108391176413
2018-06-06,92095.55087364065,22247.466712098743,114343.01758573939,1,0.009900817024461802
2018-06-07,92095.55087364065,21992.68182455945,114088.2326982001,1,0.009922927793403221
2018-06-08,92095.55087364065,21934.169395151046,114029.72026879169,1,0.009928019576586303
2018-06-11,92095.55087364065,22112.639157830126,114208.19003147077,1,0.009912505353856581
2018-06-12,92095.55087364065,22295.214685974654,114390.7655596153,1,0.00989668431365843
2018-06-13,92095.55087364065,22206.56870936622,114302.11958300686,1,0.009904359597803381
2018-06-14,92095.55087364065,22545.69650237132,114641.24737601198,1,0.00987506086206549
2018-06-15,92095.55087364065,22548.436189598633,114643.98706323928,1,0.009874824874301929
2018-06-18,92095.55087364065,22963.294721183465,115058.84559482412,1,0.009839220003369741
2018-06-19,92095.55087364065,22857.623222630256,114953.1740962709,1,0.009848264774256016
2018-06-20,92095.55087364065,22892.455958477465,114988.00683211812,1,0.009845281489173633
2018-06-21,92095.55087364065,22654.107688151842,114749.65856179249,1,0.009865731273889549
2018-06-22,92095.55087364065,22611.44748967663,114706.99836331728,1,0.009869400396613118
2018-06-25,92095.55087364065,22011.273742719954,114106.8246163606,1,0.009921311007886072
2018-06-26,92095.55087364065,21887.007313705828,113982.55818734647,1,0.009932127451293687
2018-06-27,92095.55087364065,21603.652262881817,113699.20313652247,1,0.009956879766183462
2018-06-28,92095.55087364065,21804.035004928777,113899.58587856943,1,0.009939362697491861
2018-06-29,92095.55087364065,21832.019275782808,113927.57014942345,1,0.009936921270737318
2018-07-02,92095.55087364065,22063.12597591111,114158.67684955176,1,0.009916804630043055
2018-07-03,92095.55087364065,21582.320657494,113677.87153113465,1,0.00995874817053697
2018-07-05,92095.55087364065,22000.705086714424,114096.25596035508,1,0.009922230011952275
2018-07-06,92095.55087364065,22311.848608865497,114407.39948250615,1,0.009895245414736744
2018-07-09,92095.55087364065,22583.461712672393,114679.01258631304,1,0.009871808882982473
2018-07-10,92095.55087364065,22559.783525261402,114655.33439890205,1,0.0098738475717364
2018-07-11,92095.55087364065,22580.530744368734,114676.08161800938,1,0.009872061193303226
2018-07-12,92095.55087364065,23159.377404388215,115254.92827802886,1,0.00982248058330565
2018-07-13,92095.55087364065,23263.872599629423,115359.42347327007,1,0.00981358315650338
2018-07-16,92095.55087364065,23166.813267962294,115262.36414160294,1,0.009821846910500824
2018-07-17,92095.55087364065,23459.170578576104,115554.72145221675,1,0.009796997309273565
2018-07-18,92095.55087364065,23402.030252006665,115497.58112564731,1,0.009801844195417811
2018-07-19,92095.55087364065,23227.476479866906,115323.02735350755,1,0.009816680338012227
2018-07-20,92095.55087364065,23187.360169092037,115282.91104273268,1,0.009820096360349409
2018-07-23,92095.55087364065,23590.283966433202,115685.83484007385,1,0.00978589381064885
2018-07-24,92095.55087364065,24423.526927238458,116519.07780087911,1,0.009715913621251493
2018-07-25,92095.55087364065,24729.19408723532,116824.74496087596,1,0.009690492331229612
2018-07-26,92095.55087364065,24819.796552963202,116915.34742660385,1,0.009682982773941782
2018-07-27,92095.55087364065,24236.056410919788,116331.60728456044,1,0.009731570994046389
2018-07-30,92095.55087364065,23868.944347060657,115964.4952207013,1,0.00976237850202904
2018-07-31,92095.55087364065,23820.414681227092,115915.96555486774,1,0.00976646564364216
2018-08-01,92095.55087364065,23874.22641583811,115969.77728947876,1,0.009761933855536786
2018-08-02,92095.55087364065,23994.37804248554,116089.92891612618,1,0.009751830375907518
2018-08-03,92095.55087364065,23946.63157475984,116042.18244840049,1,0.009755842843136983
2018-08-06,92095.55087364065,23967.375781566756,116062.92665520741,1,0.009754099157816044
2018-08-07,92095.55087364065,24308.853168895446,116404.4040425361,1,0.009725485083258016
2018-08-08,92095.55087364065,24375.188542481235,116470.73941612188,1,0.00971994597798973
2018-08-09,92095.55087364065,24443.486429787306,116539.03730342796,1,0.009714249588261562
2018-08-10,92095.55087364065,24218.640796071286,116314.19166971193,1,0.009733028093045833
2018-08-13,92095.55087364065,24167.76153591413,116263.31240955478,1,0.009737287469956741
2018-08-14,92095.55087364065,24306.505080722065,116402.05595436272,1,0.009725681267907136
2018-08-15,92095.55087364065,23764.05604661531,115859.60692025596,1,0.009771216433699971
2018-08-16,92095.55087364065,23609.657576551363,115705.208450192,1,0.00978425526650823
2018-08-17,92095.55087364065,23501.43917799739,115596.99005163804,1,0.009793414989745937
2018-08-20,92095.55087364065,23634.70636065111,115730.25723429176,1,0.009782137551542374
2018-08-21,92095.55087364065,23514.357428326504,115609.90830196715,1,0.00979232067362483
2018-08-22,92095.55087364065,23626.09419376503,115721.64506740568,1,0.009782865551918166
2018-08-23,92095.55087364065,23587.935878259817,115683.48675190046,1,0.009786092440048499
2018-08-24,92095.55087364065,23886.75005481288,115982.30092845354,1,0.00976087977285069
2018-08-27,92095.55087364065,24301.02570626744,116396.57657990808,1,0.009726139104821754
2018-08-28,92095.55087364065,24092.22509071116,116187.77596435181,1,0.009743617912856566
2018-08-29,92095.55087364065,24447.397901876,116542.94877551665,1,0.009713923553812233
2018-08-30,92095.55087364065,24248.188450840626,116343.73932448127,1,0.009730556209680013
2018-08-31,92095.55087364065,23838.611988033248,115934.16286167389,1,0.00976493267555629
2018-09-04,92095.55087364065,23423.946243674967,115519.49711731562,1,0.009799984620704612
2018-09-05,92095.55087364065,23218.08262102317,115313.63349466382,1,0.009817480039718041
2018-09-06,92095.55087364065,22923.767315139703,115019.31818878035,1,0.009842601338351999
2018-09-07,92095.55087364065,22794.420641475917,114889.97151511657,1,0.009853682442529547
2018-09-10,92095.55087364065,22790.70045046357,114886.25132410422,1,0.009854001519707526
2018-09-11,92095.55087364065,23039.61587064451,115135.16674428516,1,0.009832697751292535
2018-09-12,92095.55087364065,22755.083010358292,114850.63388399893,1,0.00985705743935774
2018-09-13,92095.55087364065,22999.889652773367,115095.44052641402,1,0.009836091594622405
2018-09-14,92095.55087364065,22945.09741437731,115040.64828801795,1,0.009840776386333494
2018-09-17,92095.55087364065,22622.602038112847,114718.1529117535,1,0.009868440751587756
2018-09-18,92095.55087364065,22723.77315984626,114819.3240334869,1,0.009859745340523442
2018-09-19,114858.72072579426,0.0,114858.72072579426,0,0.0
2018-09-20,114858.72072579426,0.0,114858.72072579426,0,0.0
2018-09-21,114858.72072579426,0.0,114858.72072579426,0,0.0
2018-09-24,114858.72072579426,0.0,114858.72072579426,0,0.0
2018-09-25,114858.72072579426,0.0,114858.72072579426,0,0.0
2018-09-26,114858.72072579426,0.0,114858.72072579426,0,0.0
2018-09-27,114858.72072579426,0.0,114858.72072579426,0,0.0
2018-09-28,114858.72072579426,0.0,114858.72072579426,0,0.0
2018-10-01,114858.72072579426,0.0,114858.72072579426,0,0.0
2018-10-02,114858.72072579426,0.0,114858.72072579426,0,0.0
2018-10-03,114858.72072579426,0.0,114858.72072579426,0,0.0
2018-10-04,91864.00483649026,22438.951182748853,114302.95601923912,1,0.007292871282715638
2018-10-05,113968.95608414109,0.0,113968.95608414109,0,0.0
2018-10-08,113968.95608414109,0.0,113968.95608414109,0,0.0
2018-10-09,113968.95608414109,0.0,113968.95608414109,0,0.0
2018-10-10,113968.95608414109,0.0,113968.95608414109,0,0.0
2018-10-11,113968.95608414109,0.0,113968.95608414109,0,0.0
2018-10-12,113968.95608414109,0.0,113968.95608414109,0,0.0
2018-10-15,113968.95608414109,0.0,113968.95608414109,0,0.0
2018-10-16,113968.95608414109,0.0,113968.95608414109,0,0.0
2018-10-17,113968.95608414109,0.0,113968.95608414109,0,0.0
2018-10-18,113968.95608414109,0.0,113968.95608414109,0,0.0
2018-10-19,113968.95608414109,0.0,113968.95608414109,0,0.0
2018-10-22,113968.95608414109,0.0,113968.95608414109,0,0.0
2018-10-23,113968.95608414109,0.0,113968.95608414109,0,0.0
2018-10-24,113968.95608414109,0.0,113968.95608414109,0,0.0
2018-10-25,113968.95608414109,0.0,113968.95608414109,0,0.0
2018-10-26,113968.95608414109,0.0,113968.95608414109,0,0.0
2018-10-29,113968.95608414109,0.0,113968.95608414109,0,0.0
