symbol,framework,strategy,params_json,final_equity,total_contributed,net_profit,profit_on_contributed_pct,money_weighted_irr_pct,max_drawdown_pct,sharpe,ending_cash,ending_invested_value,average_cash_pct,contribution_count,buy_count,sell_count,total_commission,monthly_immediate_pct,reserve_pct,excess_profit_vs_plain_dca,excess_final_equity_vs_plain_dca,excess_irr_pct_vs_plain_dca,investigation_note
AMAT,C_60pct_dca_40pct_tactical_reserve,rsi_pullback,"{""entry_threshold"": 45, ""exit_threshold"": 55, ""rsi_window"": 10}",2361225.310974248,610000.0,1751225.3109742482,287.0861165531554,57.169161309144044,-40.188845213518285,1.8927424699322881,12000.0,2349225.310974248,14.076783822425876,61.0,82.0,0.0,597.402597402597,0.6,0.4,29098.283101398032,29098.283101398032,0.5688492641013028,The reserve sleeve added value by waiting for recovery signals while the 60% core stayed continuously invested.
COST,A_100pct_monthly_dca,plain_dca,{},971485.9111100247,610000.0,361485.91111002467,59.2599854278729,18.73040929647037,-25.834302527022878,1.8114646485463275,0.0,971485.9111100247,0.0,61.0,61.0,0.0,609.390609390609,1.0,0.0,0.0,0.0,0.0,Plain DCA baseline.
COST,B_entry_timing_only_no_sell,macd_momentum,"{""fast"": 12, ""signal"": 9, ""slow"": 21}",971249.6252292305,610000.0,361249.6252292305,59.22125003757876,18.720421858930695,-24.247945110795555,1.8062570545895993,10000.0,961249.6252292305,1.8199024902510754,61.0,56.0,0.0,599.400599400599,0.0,1.0,-236.2858807941666,-236.2858807941666,-0.00998743753967446,Timing lagged because continuous monthly exposure captured the trend better than delayed deployment.
COST,C_60pct_dca_40pct_tactical_reserve,bollinger_mean_reversion,"{""std_mult"": 2.0, ""window"": 15}",968379.8119871991,610000.0,358379.8119871991,58.750788850360514,18.598944056217103,-24.811416146873245,1.7901391727164522,4000.0,964379.8119871991,3.889478821930117,61.0,87.0,0.0,605.394605394605,0.6,0.4,-3106.0991228255443,-3106.0991228255443,-0.13146524025326656,Timing lagged because continuous monthly exposure captured the trend better than delayed deployment.
ARM,A_100pct_monthly_dca,plain_dca,{},1162845.6724479676,340000.0,822845.6724479676,242.01343307293163,111.50762909325213,-46.08298689141064,1.9947471327693604,0.0,1162845.6724479676,0.0,34.0,34.0,0.0,339.6603396603395,1.0,0.0,0.0,0.0,0.0,Plain DCA baseline.
ARM,B_entry_timing_only_no_sell,bollinger_mean_reversion,"{""std_mult"": 2.5, ""window"": 20}",1260126.1622636546,340000.0,920126.1622636546,270.6253418422514,120.75865178809988,-35.20429039905417,2.2474438833756962,30000.0,1230126.1622636546,17.110369259925942,34.0,9.0,0.0,309.6903096903097,0.0,1.0,97280.48981568706,97280.48981568706,9.251022694847748,Entry timing improved the monthly plan by waiting for bullish regimes before deploying accumulated cash.
ARM,C_60pct_dca_40pct_tactical_reserve,bollinger_mean_reversion,"{""std_mult"": 2.5, ""window"": 20}",1188176.1117165342,340000.0,848176.1117165342,249.46356226956888,113.96114133577773,-38.63697233963934,2.0994479350436204,12000.0,1176176.1117165342,8.908870014477479,34.0,40.0,0.0,327.6723276723275,0.6,0.4,25330.439268566668,25330.439268566668,2.4535122425255906,The reserve sleeve added value by waiting for recovery signals while the 60% core stayed continuously invested.
NFLX,A_100pct_monthly_dca,plain_dca,{},1004033.2880611193,610000.0,394033.28806111927,64.59562099362611,20.085655353562817,-51.84163638131694,1.5895184797095883,0.0,1004033.2880611193,0.0,61.0,61.0,0.0,609.390609390609,1.0,0.0,0.0,0.0,0.0,Plain DCA baseline.
NFLX,B_entry_timing_only_no_sell,supertrend,"{""atr_window"": 14, ""multiplier"": 3.5}",1217919.2972801293,610000.0,607919.2972801293,99.6589011934638,28.12227500910222,-39.90959941153341,1.732250821897951,20000.0,1197919.2972801293,22.37846400137303,61.0,41.0,0.0,589.4105894105891,0.0,1.0,213886.00921901,213886.00921901,8.036619655539404,Entry timing improved the monthly plan by waiting for bullish regimes before deploying accumulated cash.
NFLX,C_60pct_dca_40pct_tactical_reserve,supertrend,"{""atr_window"": 14, ""multiplier"": 3.5}",1070467.1327082666,610000.0,460467.1327082666,75.4864151980765,22.73357974305799,-39.56863564789251,1.682764918159002,16000.0,1054467.1327082666,11.3053352135584,61.0,75.0,0.0,593.4065934065931,0.6,0.4,66433.84464714734,66433.84464714734,2.6479243894951736,The reserve sleeve added value by waiting for recovery signals while the 60% core stayed continuously invested.
