symbol,framework,objective,final_equity,total_contributed,net_profit,profit_on_contributed_pct,money_weighted_irr_pct,max_drawdown_pct,sharpe,ending_cash,ending_invested_value,average_cash_pct,contribution_count,buy_count,sell_count,total_commission,monthly_immediate_pct,reserve_pct,total_buys,excess_final_equity_vs_plain_dca,excess_irr_vs_plain_dca,beat_plain_dca,sortino
META,C_60pct_dca_40pct_tactical_reserve,irr,585695.5275722782,420000.0,165695.52757227817,,19.94769602098308,-30.88833198890474,1.9951507326636784,,,1.853138354895339,,,,,,,67.0,-11972.990325800842,-1.2672570001005958,False,5.975293840158251
META,C_60pct_dca_40pct_tactical_reserve,risk_adjusted,583729.4621543708,420000.0,163729.46215437085,,19.73774789010368,-31.122841890049514,1.9937277441115384,,,1.9431782915491609,,,,,,,65.0,-13939.055743708159,-1.4772051309799963,False,5.965866237085325
META,C_60pct_dca_40pct_tactical_reserve,plateau,562756.9800674606,420000.0,142756.98006746056,,17.464442939529714,-30.99608405075126,1.9712013334365943,,,7.124561429435753,,,,,,,60.0,-34911.53783061844,-3.750510081553962,False,6.009015272952639
MU,A_100pct_monthly_dca,baseline,4214214.452375666,420000.0,3794214.4523756662,903.3843934227777,182.8497800418636,-39.88269046198574,2.497845981401309,0.0,4214214.452375666,0.0,42.0,42.0,0.0,419.58041958041935,1.0,0.0,,0.0,0.0,False,
MU,B_entry_timing_only_no_sell,final_equity,3871187.412663857,420000.0,3451187.412663857,,173.792373880483,-36.983697081456,2.3948231958868407,,,20.17620272900972,,,,,,,12.0,-343027.03971180925,-9.057406161380584,False,5.604605421485138
MU,B_entry_timing_only_no_sell,irr,3871187.412663857,420000.0,3451187.412663857,,173.792373880483,-36.983697081456,2.3948231958868407,,,20.17620272900972,,,,,,,12.0,-343027.03971180925,-9.057406161380584,False,5.604605421485138
MU,B_entry_timing_only_no_sell,risk_adjusted,3958376.1528320736,420000.0,3538376.1528320736,,176.14644762241846,-37.17660873880775,2.4134473614739838,,,21.400885850067418,,,,,,,10.0,-255838.2995435926,-6.7033324194451325,False,5.8375721637732125
MU,B_entry_timing_only_no_sell,plateau,3954881.346376662,420000.0,3534881.346376662,,176.05279492800477,-36.983697081456,2.4045216554060724,,,20.239004139488408,,,,,,,13.0,-259333.1059990041,-6.796985113858824,False,5.665073438280077
MU,C_60pct_dca_40pct_tactical_reserve,final_equity,4077003.6364909424,420000.0,3657003.6364909424,,179.29143655871766,-38.458466570591334,2.4690271148835032,,,7.734133484078572,,,,,,,54.0,-137210.8158847238,-3.558343483145933,False,5.756538351204209
MU,C_60pct_dca_40pct_tactical_reserve,irr,4077003.6364909424,420000.0,3657003.6364909424,,179.29143655871766,-38.458466570591334,2.4690271148835032,,,7.734133484078572,,,,,,,54.0,-137210.8158847238,-3.558343483145933,False,5.756538351204209
MU,C_60pct_dca_40pct_tactical_reserve,risk_adjusted,4111879.13255823,420000.0,3691879.13255823,,180.20376797351352,-38.53595044865866,2.4772887390227694,,,8.224454547293519,,,,,,,52.0,-102335.3198174364,-2.6460120683500747,False,5.849070533204887
MU,C_60pct_dca_40pct_tactical_reserve,plateau,4110481.2099760654,420000.0,3690481.2099760654,,180.16730374966775,-38.458466570591334,2.473224412010443,,,7.763126721318645,,,,,,,55.0,-103733.2423996008,-2.682476292195844,False,5.78126233239863
WMT,A_100pct_monthly_dca,baseline,725756.5801268625,420000.0,305756.5801268625,72.79918574449107,33.70966141524797,-18.146993480565353,2.0300419968009384,0.0,725756.5801268625,0.0,42.0,42.0,0.0,419.58041958041935,1.0,0.0,,0.0,0.0,False,
WMT,B_entry_timing_only_no_sell,final_equity,708965.5165887398,420000.0,288965.5165887398,,32.17050370584782,-16.432468869627314,2.053035545056627,,,11.490436016854936,,,,,,,17.0,-16791.06353812269,-1.5391577094001505,False,9.68991447818826
WMT,B_entry_timing_only_no_sell,irr,708965.5165887398,420000.0,288965.5165887398,,32.17050370584782,-16.432468869627314,2.053035545056627,,,11.490436016854936,,,,,,,17.0,-16791.06353812269,-1.5391577094001505,False,9.68991447818826
WMT,B_entry_timing_only_no_sell,risk_adjusted,693177.7783914022,420000.0,273177.7783914022,,30.698388185777493,-14.647728938313076,2.047980035020006,,,13.789387247168253,,,,,,,14.0,-32578.801735460293,-3.011273229470479,False,10.008491068547716
WMT,B_entry_timing_only_no_sell,plateau,708885.5922720755,420000.0,288885.5922720755,,32.163112934191446,-17.803348022094823,2.0513731262697235,,,10.576552018073345,,,,,,,23.0,-16870.987854787032,-1.5465484810565258,False,9.479179560177315
WMT,C_60pct_dca_40pct_tactical_reserve,final_equity,719214.2825388118,420000.0,299214.2825388118,,33.11313889438507,-17.77127056537622,2.039427557014116,,,4.386869738677722,,,,,,,61.0,-6542.297588050715,-0.596522520862905,False,9.46884006544055
